ID,Standard ID,Type,Difficulty,Title,Question,Correct Answer,Explanation,Estimated Time (minutes),Calculator Allowed,Keywords
enVAGA_CCA2_1761997592329_43tog4j9h,std_10,multiple_choice,proficient,Algebra: Reasoning Equations Inequalities,Solve for x: 3x + 6 = 7,-2,"Subtract 6 from both sides, then divide by 3",3,true,algebra; reasoning equations inequalities; equations; expressions; variables; polynomials
enVAGA_CCA2_1761997592329_a38c8f67e,std_10,multiple_choice,developing,Algebra: Reasoning Equations Inequalities,Solve for x: 2x + 5 = 5,-2,"Subtract 5 from both sides, then divide by 2",2,true,algebra; reasoning equations inequalities; equations; expressions; variables; polynomials
enVAGA_CCA2_1761997592329_ftwfztd8m,std_172,multiple_choice,proficient,Geometry: Congruence,Find the area of a right triangle with legs 3 and 4 units.,6,Area = (1/2) × base × height = (1/2) × 3 × 4 = 6 square units,3,true,geometry; congruence; shapes; angles; area; volume; triangles
enVAGA_CCA2_1761997592330_w0jlcrtc5,std_172,multiple_choice,proficient,Geometry: Congruence,Find the area of a right triangle with legs 4 and 3 units.,6,Area = (1/2) × base × height = (1/2) × 4 × 3 = 6 square units,3,true,geometry; congruence; shapes; angles; area; volume; triangles
enVAGA_CCGM_1761997592330_jkwps1daz,std_46,multiple_choice,developing,Functions: Interpreting Functions,What is the slope of the line y = 1x + 4?,1,"In the equation y = mx + b, m represents the slope. Here, m = 1.",2,true,functions; interpreting functions; graphs; relationships; input; output; linear
enVAGA_CCGM_1761997592330_kzku3xve7,std_46,multiple_choice,proficient,Functions: Interpreting Functions,What is the slope of the line y = 3x + 0?,3,"In the equation y = mx + b, m represents the slope. Here, m = 3.",3,true,functions; interpreting functions; graphs; relationships; input; output; linear
enVAGA_CCA1_1761997592330_sijrl2ncw,std_1,multiple_choice,proficient,Statistics: Using Probability Make Decisions,"Find the mean of the following data set: 14, 11, 11, 12, 1",9.8,Mean = sum of all values ÷ number of values = (14 + 11 + 11 + 12 + 1) ÷ 5 = 9.8,3,true,statistics & probability; using probability make decisions; data; mean; median; probability; statistics
enVAGA_CCA1_1761997592330_u9utjte2h,std_1,short_answer,developing,Statistics: Using Probability Make Decisions,"Find the mean of the following data set: 3, 8, 17, 19, 2",9.8,Mean = sum of all values ÷ number of values = (3 + 8 + 17 + 19 + 2) ÷ 5 = 9.8,2,true,statistics & probability; using probability make decisions; data; mean; median; probability; statistics
enVAGA_CCGM_1761997592330_8zphpaj5y,std_16,multiple_choice,proficient,Number & Quantity: The Complex Number System,Simplify: (3 + 10i) + (5 - 9i),8 + i,Add real parts and imaginary parts separately: (3 + 5) + (10i - 9i) = 8 + i,3,true,number & quantity; the complex number system; numbers; operations; complex; vectors; matrices
enVAGA_CCGM_1761997592330_pkkvvpg0e,std_16,short_answer,developing,Number & Quantity: The Complex Number System,Simplify: (9 + 10i) + (11 - 9i),20 + i,Add real parts and imaginary parts separately: (9 + 11) + (10i - 9i) = 20 + i,2,true,number & quantity; the complex number system; numbers; operations; complex; vectors; matrices
